Comment,Designator,Footprint,LCSC Part #,MPN,Quantity
1.0pF 50V C0G,"C21,C22",Capacitor_SMD:C_0402_1005Metric,,-,2
100nF 16V X7R,"C7,C8,C9,C11,C12,C13,C19,C25",Capacitor_SMD:C_0402_1005Metric,,CL05B104KO5NNNC,8
150pF 50V C0G,"C23,C24",Capacitor_SMD:C_0402_1005Metric,,-,2
1uF 16V X7R,"C6,C10",Capacitor_SMD:C_0402_1005Metric,,CL05A105KA5NNNC,2
22pF 50V C0G,"C17,C18",Capacitor_SMD:C_0402_1005Metric,,CL05C220JB5NNNC,2
8pF 50V C0G,"C15,C16",Capacitor_SMD:C_0402_1005Metric,,CL05C080CB5NNNC,2
10uF 6.3V X5R,C20,Capacitor_SMD:C_0603_1608Metric,,CL10A106MQ8NNNC,1
100uF 6.3V X5R,"C1,C2,C3,C4,C5",Capacitor_SMD:C_0805_2012Metric,,CL21A107MQNNNNE,5
"CR2032 CELL - OFF-BOARD, ON 2 PADS",BT1,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,,-,1
NFC COIL 13.56MHz,J2,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,,-,1
VOICE COIL / SOUNDER,J1,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,,-,1
SWD (nRST SWDIO SWCLK GND VBAT),J3,Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical,,-,1
32MHz 10ppm CL=8pF,X1,Crystal:Crystal_SMD_2012-2Pin_2.0x1.2mm,,NX2012SA-32M-STD-CSW-5,1
32.768kHz 20ppm CL=12.5pF,X2,Crystal:Crystal_SMD_3215-2Pin_3.2x1.5mm,,ABS07-32.768KHZ-T,1
BAT54HT1G (Vf~0.24V @1mA),D1,Diode_SMD:D_SOD-323,,BAT54HT1G,1
3.9nH,L1,Inductor_SMD:L_0402_1005Metric,,-,1
nRF52832-QFAA-R,U1,Package_DFN_QFN:QFN-48-1EP_6x6mm_P0.4mm_EP4.4x4.4mm,,NRF52832-QFAA-R,1
"MAX98357A class-D, TQFN-16",U5,Package_DFN_QFN:TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm,,MAX98357AETE+T,1
"SC7A20 3-axis, LGA-12",U4,Package_LGA:LGA-12_2x2mm_P0.5mm,,SC7A20,1
MX25R3235F 32Mb 1.65-3.6V,U3,Package_SO:JEITA_SOIC-8_3.9x4.9mm_P1.27mm,,MX25R3235FM1IL0,1
"MIC94090YC6 (0.5 uA, 1.5 A)",U2,Package_TO_SOT_SMD:SOT-363_SC-70-6,,MIC94090YC6,1
2450AT18A100 2.4GHz chip,AE1,RF_Antenna:Johanson_2450AT18x100,,2450AT18A100E,1
100k,R5,Resistor_SMD:R_0402_1005Metric,,RC0402FR-07100KL,1
10M,"R1,R2",Resistor_SMD:R_0402_1005Metric,,RC0402FR-0710ML,2
10k,"R3,R4,R6",Resistor_SMD:R_0402_1005Metric,,RC0402FR-0710KL,3
