Comment,Designator,Footprint,LCSC Part #,Quantity,Value
100nF,"C2,C1,C3,C4",C_0201_0603Metric,C5142565,4,100nF
10k,"R7,R5,R10,R6,R8",R_0201_0603Metric,C473048,5,10k
2.7nH,L2,L_0201_0603Metric,C7216765,1,2.7nH
1.0nF,"C24,C25",C_0201_0603Metric,C161371,2,1.0nF
10nF,C6,C_0201_0603Metric,C76941,1,10nF
2.2uF,"C8,C5",C_0201_0603Metric,C335106,2,2.2uF
0R,L10,L_0201_0603Metric,C473473,1,0R
0.5pF,"C21,C20",C_0201_0603Metric,C237424,2,0.5pF
100R,R9,R_0201_0603Metric,C270366,1,100R
4.7M,"R2,R1",R_0201_0603Metric,C778408,2,4.7M
3.5nH,"L4,L3",L_0201_0603Metric,C3911055,2,3.5nH
3.9pF,C23,C_0201_0603Metric,C1852416,1,3.9pF
2.2nF,C7,C_0201_0603Metric,C161479,1,2.2nF
2.0pF,C19,C_0201_0603Metric,C668326,1,2.0pF
1.5pF,C18,C_0201_0603Metric,C435397,1,1.5pF
100pF,C13,C_0201_0603Metric,C76922,1,100pF
0.3pF,C22,C_0201_0603Metric,C3904589,1,0.3pF
10uF,"C9,C12,C10,C11",C_0402_1005Metric,C15525,4,10uF
nRF54L10-QFAA-R7,U1,QFN-48-1EP_6x6mm_P0.4mm_EP4.4x4.4mm,C44800139,1,nRF54L10-QFAA-R7
4.7uH,L1,L_0603_1608Metric,C76799,1,4.7uH
LIS2DW12TR,U2,LGA-12_2x2mm_P0.5mm,C189624,1,LIS2DW12TR
32MHz,X2,Crystal_SMD_2016-4Pin_2.0x1.6mm,C843260,1,32MHz
32.768kHz,X1,Crystal_SMD_3215-2Pin_3.2x1.5mm,C95361,1,32.768kHz
