Designator,Mid X,Mid Y,Rotation,Layer
R6,11.3694,-19.0853,165.0,top
L10,17.46,-4.612,332.0,top
R1,6.5287,-17.5313,125.0,top
C4,17.4166,-11.3925,290.0,top
C20,11.4759,-6.8871,14.0,top
R8,13.5491,-19.276,185.0,top
FID2,9.2488,-16.8844,0.0,top
C18,13.6585,-6.7345,354.0,top
L4,16.7088,-6.0247,332.0,top
C1,9.9789,-9.3996,40.0,top
C13,3.9074,-19.3667,125.0,top
L3,15.9577,-7.4374,332.0,top
C7,19.0518,-7.922,310.0,top
C22,13.993,-3.552,354.0,top
C5,16.6004,-9.9789,310.0,top
L2,15.2065,-8.8501,332.0,top
R7,13.4096,-17.6821,185.0,top
FID1,9.7166,-22.021,0.0,top
R2,5.2181,-18.449,125.0,top
C21,11.0888,-5.3347,14.0,top
R5,11.7835,-17.5399,165.0,top
C23,13.4913,-8.3257,354.0,top
C25,7.544,-9.85,60.0,top
R9,9.2912,-6.0247,28.0,top
C24,8.9297,-10.65,60.0,top
C6,17.8261,-8.9504,310.0,top
C3,16.0211,-16.6004,220.0,top
C2,8.5834,-14.6075,110.0,top
C19,13.8258,-5.1433,354.0,top
C8,17.0703,-15.35,240.0,top
R10,19.0853,-14.6306,255.0,top
X1,7.1967,-9.0856,236.0,bottom
C9,21.4173,-14.183,262.0,bottom
U1,13.1875,-13.0,270.0,bottom
X2,19.4086,-16.7,240.0,bottom
C12,8.1246,-19.9628,145.0,bottom
C10,15.3429,-21.1707,196.0,bottom
C11,4.5827,-11.817,262.0,bottom
L1,18.5921,-8.3077,220.0,bottom
U2,12.0648,-20.6485,180.0,bottom
